stock_code,market_id,revenue,total_net_sales_qty,mean_net_sales_qty,std_net_sales_qty,active_days,value_share,cumulative_share,abc_segment,coefficient_of_variation,xyz_segment,abc_xyz_segment
79323W,United Kingdom,9977.02,-3350,-22.185430463576157,395.86870557418416,151,0.0005172857564547404,0.5194567631439707,A,-17.84363419155278,X,AX
C2,EIRE,9940.0,200,1.2658227848101267,0.5909909794755711,158,0.0005153663537970375,0.5199721294977677,A,0.46688287378570115,X,AX
79323P,United Kingdom,8269.58,-901,-6.825757575757576,179.0180807198327,132,0.0004287588824982802,0.5609598538607005,A,-26.226844234204126,X,AX
ADJUST,United Kingdom,4920.41,-9,-4.5,2.1213203435596424,2,0.00025511204837892163,0.6632389922503343,A,-0.4714045207910316,X,AX
22433,United Kingdom,4405.5599999999995,-1848,-7.512195121951219,268.8839933716552,246,0.0002284182488565469,0.68371114034671,A,-35.792999117655405,X,AX
22618,United Kingdom,4345.8099999999995,-1243,-9.345864661654135,146.2092235365586,133,0.00022532034748437658,0.6866585319305741,A,-15.644269292326866,X,AX
79323LP,United Kingdom,4294.89,-1917,-17.587155963302752,252.16199272341572,109,0.00022268026149490527,0.6893462141285752,A,-14.337849351513988,X,AX
M,France,3954.46,-14,-1.5555555555555556,6.948221195225277,9,0.0002050297415931824,0.7033707589462171,A,-4.4667136255019635,X,AX
22790,United Kingdom,3884.000000000001,200,200.0,0.0,1,0.0002013765511214984,0.7064209096036472,A,0.0,X,AX
84016,United Kingdom,3736.33,-1971,-41.0625,2391.8791011061803,48,0.00019372019805658804,0.7141060303769482,A,-58.24971935722814,X,AX
20787,United Kingdom,2535.1,-1,-0.034482758620689655,13.521101916794168,29,0.00013143915930692853,0.776548303616149,A,-392.1119555870309,X,AX
20725,United Kingdom,58257.05,31822,53.572390572390574,52.52843744725229,594,0.003020495316043431,0.112605860661311,A,0.9805132249282841,Y,AY
21754,United Kingdom,45903.64,7480,13.145869947275923,11.386835492151008,569,0.0023799991521943503,0.16362533886690986,A,0.8661910955927705,Y,AY
POST,Germany,38624.0,2050,5.710306406685237,4.8932377995388645,359,0.0020025664033256315,0.20301352316625323,A,0.8569133512363183,Y,AY
21755,United Kingdom,34314.04,5549,10.238007380073801,9.031501354953651,542,0.001779104796664557,0.22963658476799015,A,0.8821542141619892,Y,AY
23355,United Kingdom,27453.550000000003,5541,58.9468085106383,54.7682050100919,94,0.0014234040203505694,0.27203609303988374,A,0.929112303004627,Y,AY
POST,France,24525.0,1307,4.585964912280701,3.762838988355154,285,0.0012715653749368555,0.30548750944188996,A,0.8205119446681094,Y,AY
23209,United Kingdom,17422.02,10690,58.73626373626374,54.9947933577393,182,0.0009032920445854188,0.3951279931336658,A,0.9363005043132415,Y,AY
21533,United Kingdom,14213.57,2861,6.3017621145374445,6.206465792917082,454,0.0007369412218650863,0.4296727291835739,A,0.9848778294248008,Y,AY
22296,United Kingdom,13333.859999999999,7878,19.74436090225564,18.331668291287187,399,0.0006913302625996142,0.44455674227750275,A,0.9284508312038064,Y,AY
22326,Netherlands,13315.1,5210,124.04761904761905,102.58653750429258,42,0.0006903575993403354,0.4452470998768431,A,0.82699320061042,Y,AY
22485,United Kingdom,13110.64,973,3.671698113207547,3.6631031594815897,265,0.0006797568141595162,0.4507317167550781,A,0.9976591338773086,Y,AY
22295,United Kingdom,12149.8,7191,20.783236994219653,19.2505029314739,346,0.0006299394492317148,0.4703171563006573,A,0.9262514273800542,Y,AY
23328,United Kingdom,11685.7,2384,23.145631067961165,18.696443914258808,103,0.0006058769215861209,0.4789387449202343,A,0.8077742127385307,Y,AY
21390,United Kingdom,10944.76,8544,24.982456140350877,24.349236575484674,342,0.0005674608706623404,0.4929820871293818,A,0.974653430338923,Y,AY
23581,United Kingdom,10622.59,4517,112.925,110.64713779652912,40,0.0005507570901590415,0.5002561778301462,A,0.9798285392652568,Y,AY
23240,United Kingdom,10160.87,2427,16.39864864864865,15.486109582401951,148,0.0005268179600911171,0.5142363788468408,A,0.9443527887084832,Y,AY
21756,United Kingdom,9502.710000000001,1528,4.881789137380192,4.469492814570464,313,0.0004926938635704876,0.5300434841117987,A,0.9155440124087403,Y,AY
22192,United Kingdom,9366.91,1066,3.5065789473684212,3.339920970046445,304,0.00048565294296227444,0.5349329238827769,A,0.9524727719457029,Y,AY
POST,Spain,8507.0,301,3.4597701149425286,2.2711773286483523,87,0.0004410685685866597,0.5561743838075902,A,0.6564532478153046,Y,AY
23321,United Kingdom,8166.37,4551,30.34,29.030377517213697,150,0.0004234076791405949,0.5635138124887762,A,0.9568351192226004,Y,AY
23076,United Kingdom,7561.96,6056,44.85925925925926,31.235781950738392,135,0.0003920703976618758,0.5813795315442284,A,0.6963062356918235,Y,AY
22328,Netherlands,7560.8,2960,95.48387096774194,71.43289203522514,31,0.00039201025430469225,0.5817715417985331,A,0.7481147476662092,Y,AY
85099B,Netherlands,7545.0,4460,159.28571428571428,79.67194642795573,28,0.00039119106030167483,0.582554269224963,A,0.5001826233145203,Y,AY
