stock_code,market_id,observed_days,avg_daily_demand,demand_std,avg_forecast_sales,forecast_error,forecast_bias,stockout_risk_rate,overstock_risk_rate,stockout_risk_flag,overstock_risk_flag,negative_actual_sales_count,lead_time_days,z_score,available_stock_assumption,suggested_safety_stock,suggested_reorder_point,source
22053,United Kingdom,1,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,7.0,model
21913,France,1,4.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,28.0,model
21485,Austria,1,3.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,21.0,model
16207A,United Kingdom,1,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,7.0,model
21847,United Kingdom,1,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,7.0,model
21841,Cyprus,1,2.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,14.0,model
22374,Cyprus,1,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,7.0,model
22372,Cyprus,1,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,7.0,model
22371,Cyprus,1,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,7.0,model
22320,Italy,1,3.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,21.0,model
84078A,Italy,1,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,7.0,model
37448,Italy,1,12.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,84.0,model
21563,Italy,1,6.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,42.0,model
21415,Germany,1,6.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,42.0,model
22567,Italy,1,12.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,84.0,model
17136A,United Kingdom,1,3.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,21.0,model
16048,Italy,1,24.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,168.0,model
85231G,United Kingdom,1,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,7.0,model
85045,United Kingdom,1,2.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,14.0,model
84971L,United Kingdom,1,2.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,14.0,model
22848,United Kingdom,1,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,7.0,model
90151,United Kingdom,1,2.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,14.0,model
90082D,United Kingdom,1,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,7.0,model
84228,United Kingdom,1,12.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,84.0,model
22176,United Kingdom,1,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,7.0,model
22925,United Kingdom,1,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,7.0,model
20750,Greece,1,2.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,14.0,model
47591B,United Kingdom,1,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,7.0,model
21115,Portugal,1,8.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,56.0,model
21109,Portugal,1,12.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,84.0,model
22634,EIRE,1,2.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,14.0,model
22596,Germany,1,24.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,168.0,model
22393,Netherlands,1,96.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,672.0,model
22475,Germany,1,8.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,56.0,model
84820,EIRE,1,16.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,112.0,model
22442,EIRE,1,12.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,84.0,model
84558a,United Kingdom,1,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,7.0,model
90210A,United Kingdom,1,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,7.0,model
84952A,United Kingdom,3,2.6666666666666665,2.886751345948129,0.020027612749005,0.9924896452191231,-0.9924896452191231,1.0,0.0,True,False,0,7,1.65,0.020027612749005,12.602083161128562,31.268749827795226,model
21810,Netherlands,1,384.0,0.0,24.10071753450268,0.9372377147538993,-0.9372377147538993,1.0,0.0,True,False,0,7,1.65,24.10071753450268,0.0,2688.0,model
20973,Netherlands,1,384.0,0.0,36.3728828037674,0.9052789510318556,-0.9052789510318556,1.0,0.0,True,False,0,7,1.65,36.3728828037674,0.0,2688.0,model
23084,Australia,1,1200.0,0.0,114.98517950674236,0.9041790170777148,-0.9041790170777148,1.0,0.0,True,False,0,7,1.65,114.98517950674236,0.0,8400.0,model
85178,Netherlands,1,288.0,0.0,28.07187716745461,0.9025282042796715,-0.9025282042796715,1.0,0.0,True,False,0,7,1.65,28.07187716745461,0.0,2016.0,model
23681,Netherlands,1,200.0,0.0,21.8573139918833,0.8907134300405835,-0.8907134300405835,1.0,0.0,True,False,0,7,1.65,21.8573139918833,0.0,1400.0,model
23569,Netherlands,1,108.0,0.0,12.828971384086136,0.8812132279251285,-0.8812132279251285,1.0,0.0,True,False,0,7,1.65,12.828971384086136,0.0,756.0,model
16161G,EIRE,1,25.0,0.0,3.341889110988679,0.8663244355604529,-0.8663244355604529,1.0,0.0,True,False,0,7,1.65,3.341889110988679,0.0,175.0,model
22758,Netherlands,1,144.0,0.0,19.69279168341928,0.8632445021984773,-0.8632445021984773,1.0,0.0,True,False,0,7,1.65,19.69279168341928,0.0,1008.0,model
23164,EIRE,1,60.0,0.0,8.465581569827847,0.8589069738362025,-0.8589069738362025,1.0,0.0,True,False,0,7,1.65,8.465581569827847,0.0,420.0,model
21987,Netherlands,1,216.0,0.0,31.700107506439892,0.8532402430257412,-0.8532402430257412,1.0,0.0,True,False,0,7,1.65,31.700107506439892,0.0,1512.0,model
47590A,Australia,1,50.0,0.0,7.48483557866329,0.8503032884267341,-0.8503032884267341,1.0,0.0,True,False,0,7,1.65,7.48483557866329,0.0,350.0,model
23447,Netherlands,1,144.0,0.0,21.8573139918833,0.8482130972785882,-0.8482130972785882,1.0,0.0,True,False,0,7,1.65,21.8573139918833,0.0,1008.0,model
23446,Netherlands,1,144.0,0.0,21.8573139918833,0.8482130972785882,-0.8482130972785882,1.0,0.0,True,False,0,7,1.65,21.8573139918833,0.0,1008.0,model
22622,Netherlands,1,24.0,0.0,3.724250569415229,0.8448228929410321,-0.8448228929410321,1.0,0.0,True,False,0,7,1.65,3.724250569415229,0.0,168.0,model
46775D,United Kingdom,4,1.0,0.0,0.15578769467265197,0.844212305327348,-0.844212305327348,1.0,0.0,True,False,0,7,1.65,0.15578769467265197,0.0,7.0,model
22131,Australia,1,72.0,0.0,12.025529970472558,0.8329787504101033,-0.8329787504101033,1.0,0.0,True,False,0,7,1.65,12.025529970472558,0.0,504.0,model
23084,Netherlands,1,1440.0,0.0,246.92180900859785,0.8285265215218071,-0.8285265215218071,1.0,0.0,True,False,0,7,1.65,246.92180900859785,0.0,10080.0,model
23493,Japan,1,100.0,0.0,17.2434803973969,0.8275651960260311,-0.8275651960260311,1.0,0.0,True,False,0,7,1.65,17.2434803973969,0.0,700.0,model
22504,United Kingdom,2,10.5,10.606601717798213,1.8245205559806492,0.8262361375256526,-0.8262361375256526,1.0,0.0,True,False,0,7,1.65,1.8245205559806492,46.30301016132753,119.80301016132753,model
23493,Netherlands,1,50.0,0.0,9.191096125426991,0.8161780774914601,-0.8161780774914601,1.0,0.0,True,False,0,7,1.65,9.191096125426991,0.0,350.0,model
22911,Japan,1,80.0,0.0,15.083322422344477,0.811458469720694,-0.811458469720694,1.0,0.0,True,False,0,7,1.65,15.083322422344477,0.0,560.0,model
23598,Netherlands,1,80.0,0.0,15.083322422344477,0.811458469720694,-0.811458469720694,1.0,0.0,True,False,0,7,1.65,15.083322422344477,0.0,560.0,model
23597,Netherlands,1,80.0,0.0,15.083322422344477,0.811458469720694,-0.811458469720694,1.0,0.0,True,False,0,7,1.65,15.083322422344477,0.0,560.0,model
22181,France,1,60.0,0.0,11.60503348714352,0.8065827752142746,-0.8065827752142746,1.0,0.0,True,False,0,7,1.65,11.60503348714352,0.0,420.0,model
22219,Netherlands,1,288.0,0.0,55.77803137482121,0.8063262799485374,-0.8063262799485374,1.0,0.0,True,False,0,7,1.65,55.77803137482121,0.0,2016.0,model
22129,Netherlands,1,240.0,0.0,48.93372543665416,0.7961094773472743,-0.7961094773472743,1.0,0.0,True,False,0,7,1.65,48.93372543665416,0.0,1680.0,model
23169,Norway,1,36.0,0.0,7.548604730331964,0.7903165352685566,-0.7903165352685566,1.0,0.0,True,False,0,7,1.65,7.548604730331964,0.0,252.0,model
