stock_code,market_id,observed_days,avg_daily_demand,demand_std,avg_forecast_sales,forecast_error,forecast_bias,stockout_risk_rate,overstock_risk_rate,stockout_risk_flag,overstock_risk_flag,negative_actual_sales_count,lead_time_days,z_score,available_stock_assumption,suggested_safety_stock,suggested_reorder_point,source
23046,EIRE,1,2.0,0.0,147.36452985812917,72.68226492906459,72.68226492906459,0.0,1.0,False,True,0,7,1.65,147.36452985812917,0.0,14.0,model
22754,Spain,1,1.0,0.0,71.3062882966636,70.3062882966636,70.3062882966636,0.0,1.0,False,True,0,7,1.65,71.3062882966636,0.0,7.0,model
22753,Spain,1,1.0,0.0,70.89204676668528,69.89204676668528,69.89204676668528,0.0,1.0,False,True,0,7,1.65,70.89204676668528,0.0,7.0,model
22464,Spain,1,1.0,0.0,60.08623525302191,59.08623525302191,59.08623525302191,0.0,1.0,False,True,0,7,1.65,60.08623525302191,0.0,7.0,model
22034,United Kingdom,3,0.6666666666666666,0.5773502691896258,35.5402645336926,52.3103968005389,52.3103968005389,0.0,1.0,False,True,1,7,1.65,35.5402645336926,2.520416632225712,7.187083298892379,model
22755,Spain,1,1.0,0.0,49.28643049177808,48.28643049177808,48.28643049177808,0.0,1.0,False,True,0,7,1.65,49.28643049177808,0.0,7.0,model
22097,Germany,1,1.0,0.0,36.55915683879026,35.55915683879026,35.55915683879026,0.0,1.0,False,True,0,7,1.65,36.55915683879026,0.0,7.0,model
22465,Spain,1,1.0,0.0,35.74490046160606,34.74490046160606,34.74490046160606,0.0,1.0,False,True,0,7,1.65,35.74490046160606,0.0,7.0,model
23702,United Kingdom,2,1.5,0.7071067811865476,53.557643679263116,34.70509578617541,34.70509578617541,0.0,1.0,False,True,0,7,1.65,53.557643679263116,3.086867344088502,13.586867344088501,model
22132,Portugal,1,1.0,0.0,35.14956612499969,34.14956612499969,34.14956612499969,0.0,1.0,False,True,0,7,1.65,35.14956612499969,0.0,7.0,model
22956,Portugal,1,1.0,0.0,33.00275647038068,32.00275647038068,32.00275647038068,0.0,1.0,False,True,0,7,1.65,33.00275647038068,0.0,7.0,model
90037C,United Kingdom,1,1.0,0.0,32.80368729495425,31.80368729495425,31.80368729495425,0.0,1.0,False,True,0,7,1.65,32.80368729495425,0.0,7.0,model
90037B,United Kingdom,1,1.0,0.0,32.80368729495425,31.80368729495425,31.80368729495425,0.0,1.0,False,True,0,7,1.65,32.80368729495425,0.0,7.0,model
22128,United Kingdom,2,0.5,0.7071067811865476,16.27326887450681,31.546537749013623,31.546537749013623,0.0,1.0,False,True,1,7,1.65,16.27326887450681,3.086867344088502,6.5868673440885015,model
22999,Germany,1,1.0,0.0,32.52807441941787,31.52807441941787,31.52807441941787,0.0,1.0,False,True,0,7,1.65,32.52807441941787,0.0,7.0,model
79063C,United Kingdom,3,1.0,0.0,31.88244519416412,30.88244519416412,30.88244519416412,0.0,1.0,False,True,0,7,1.65,31.88244519416412,0.0,7.0,model
47559B,Portugal,1,1.0,0.0,29.436680973765515,28.436680973765515,28.436680973765515,0.0,1.0,False,True,0,7,1.65,29.436680973765515,0.0,7.0,model
84201B,United Kingdom,1,1.0,0.0,25.43246310684253,24.43246310684253,24.43246310684253,0.0,1.0,False,True,0,7,1.65,25.43246310684253,0.0,7.0,model
22566,Cyprus,1,1.0,0.0,23.65813010032337,22.65813010032337,22.65813010032337,0.0,1.0,False,True,0,7,1.65,23.65813010032337,0.0,7.0,model
22565,Cyprus,1,1.0,0.0,23.65813010032337,22.65813010032337,22.65813010032337,0.0,1.0,False,True,0,7,1.65,23.65813010032337,0.0,7.0,model
