stock_code,market_id,observed_days,avg_daily_demand,demand_std,avg_forecast_sales,forecast_error,forecast_bias,stockout_risk_rate,overstock_risk_rate,stockout_risk_flag,overstock_risk_flag,negative_actual_sales_count,lead_time_days,z_score,available_stock_assumption,suggested_safety_stock,suggested_reorder_point,source
22393,Netherlands,1,96.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,672.0,model
16048,Italy,1,24.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,168.0,model
22596,Germany,1,24.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,168.0,model
84820,EIRE,1,16.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,112.0,model
37448,Italy,1,12.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,84.0,model
22567,Italy,1,12.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,84.0,model
84228,United Kingdom,1,12.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,84.0,model
21109,Portugal,1,12.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,84.0,model
22442,EIRE,1,12.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,84.0,model
21115,Portugal,1,8.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,56.0,model
22475,Germany,1,8.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,56.0,model
21563,Italy,1,6.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,42.0,model
21415,Germany,1,6.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,42.0,model
21913,France,1,4.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,28.0,model
21485,Austria,1,3.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,21.0,model
22320,Italy,1,3.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,21.0,model
17136A,United Kingdom,1,3.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,21.0,model
21841,Cyprus,1,2.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,14.0,model
85045,United Kingdom,1,2.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,14.0,model
84971L,United Kingdom,1,2.0,0.0,0.0,1.0,-1.0,1.0,0.0,True,False,0,7,1.65,0.0,0.0,14.0,model
